
4 K 8 K,#genre#
CCTV4,http://192.168.0.105:35456/jump?url=http%3A%2F%2F192.168.0.105%3A35455%2Fitv%2F5000000011000031102.m3u8%3Fcdn%3Dbestzb$itv-50-FPS
CCTV4,http://192.168.0.105:35456/jump?url=http%3A%2F%2F192.168.0.105%3A35455%2Fitv%2F1000000005000265004.m3u8%3Fcdn%3Dystenlive$itv-HEVC
CCTV5,http://192.168.0.105:35456/jump?url=http%3A%2F%2F192.168.0.105%3A35455%2Fgaoma%2Fcctv5.m3u8$gaoma-高码
CCTV5,http://192.168.0.105:35456/jump?url=http%3A%2F%2F192.168.0.105%3A35455%2Fitv%2F1000000005000025222.m3u8%3Fcdn%3Dystenlive$itv
CCTV5,http://192.168.0.105:35456/jump?url=http%3A%2F%2F192.168.0.105%3A35455%2Fitv%2F1000000005000265005.m3u8%3Fcdn%3Dystenlive$itv-HEVC
CCTV5+,http://192.168.0.105:35456/jump?url=http%3A%2F%2F192.168.0.105%3A35455%2Fgaoma%2Fcctv5p.m3u8$gaoma-高码
CCTV5+,http://192.168.0.105:35456/jump?url=http%3A%2F%2F192.168.0.105%3A35455%2Fitv%2F6000000001000015875.m3u8%3Fcdn%3Dwasusyt$itv
CCTV5+,http://192.168.0.105:35456/jump?url=http%3A%2F%2F192.168.0.105%3A35455%2Fitv%2F1000000005000265016.m3u8%3Fcdn%3Dystenlive$itv-HEVC
CCTV6,http://192.168.0.105:35456/jump?url=http%3A%2F%2F192.168.0.105%3A35455%2Fitv%2F1000000001000001737.m3u8%3Fcdn%3Dystenlive$itv
CCTV6,http://192.168.0.105:35456/jump?url=http%3A%2F%2F192.168.0.105%3A35455%2Fitv%2F6000000001000004574.m3u8%3Fcdn%3Dwasusyt$itv-50-FPS
CCTV6,http://192.168.0.105:35456/jump?url=http%3A%2F%2F192.168.0.105%3A35455%2Fitv%2F1000000005000265006.m3u8%3Fcdn%3Dystenlive$itv-HEVC
CCTV6,http://192.168.0.105:35456/jump?url=http%3A%2F%2F192.168.0.105%3A35455%2Frptv%2FG_CCTV-6-AVS-4K264.m3u8%3Flicense%3Dgitv$rptv-高码
CCTV7,http://192.168.0.105:35456/jump?url=http%3A%2F%2F192.168.0.105%3A35455%2Fgaoma%2Fcctv7.m3u8$gaoma-高码
CCTV7,http://192.168.0.105:35456/jump?url=http%3A%2F%2F192.168.0.105%3A35455%2Fitv%2F1000000001000024341.m3u8%3Fcdn%3Dystenlive$itv
CCTV7,http://192.168.0.105:35456/jump?url=http%3A%2F%2F192.168.0.105%3A35455%2Fitv%2F6000000001000009055.m3u8%3Fcdn%3Dwasusyt$itv-50-FPS
CCTV7,http://192.168.0.105:35456/jump?url=http%3A%2F%2F192.168.0.105%3A35455%2Fitv%2F1000000005000265007.m3u8%3Fcdn%3Dystenlive$itv-HEVC
CCTV8,http://192.168.0.105:35456/jump?url=http%3A%2F%2F192.168.0.105%3A35455%2Fgaoma%2Fcctv8.m3u8$gaoma-高码
CCTV8,http://192.168.0.105:35456/jump?url=http%3A%2F%2F192.168.0.105%3A35455%2Fitv%2F6000000001000001070.m3u8%3Fcdn%3Dwasusyt$itv
CCTV8,http://192.168.0.105:35456/jump?url=http%3A%2F%2F192.168.0.105%3A35455%2Fitv%2F1000000005000265008.m3u8%3Fcdn%3Dystenlive$itv-HEVC
CCTV8,http://192.168.0.105:35456/jump?url=http%3A%2F%2F192.168.0.105%3A35455%2Frptv%2FG_CCTV-8-AVS-4K264.m3u8%3Flicense%3Dgitv$rptv-AVS
CCTV9,http://192.168.0.105:35456/jump?url=http%3A%2F%2F192.168.0.105%3A35455%2Fgaoma%2Fcctv9.m3u8$gaoma-高码
CCTV9,http://192.168.0.105:35456/jump?url=http%3A%2F%2F192.168.0.105%3A35455%2Fitv%2F1000000001000014583.m3u8%3Fcdn%3Dystenlive$itv
CCTV9,http://192.168.0.105:35456/jump?url=http%3A%2F%2F192.168.0.105%3A35455%2Fitv%2F6000000001000032162.m3u8%3Fcdn%3Dwasusyt$itv-50-FPS
CCTV9,http://192.168.0.105:35456/jump?url=http%3A%2F%2F192.168.0.105%3A35455%2Fitv%2F1000000005000265009.m3u8%3Fcdn%3Dystenlive$itv-HEVC
CCTV10,http://192.168.0.105:35456/jump?url=http%3A%2F%2F192.168.0.105%3A35455%2Fgaoma%2Fcctv10.m3u8$gaoma-高码
CCTV10,http://192.168.0.105:35456/jump?url=http%3A%2F%2F192.168.0.105%3A35455%2Fitv%2F1000000001000023734.m3u8%3Fcdn%3Dystenlive$itv
CCTV10,http://192.168.0.105:35456/jump?url=http%3A%2F%2F192.168.0.105%3A35455%2Fitv%2F5000000004000012827.m3u8%3Fcdn%3Dbestzb$itv-50-FPS
CCTV10,http://192.168.0.105:35456/jump?url=http%3A%2F%2F192.168.0.105%3A35455%2Fitv%2F1000000005000265010.m3u8%3Fcdn%3Dystenlive$itv-HEVC
CCTV11,http://192.168.0.105:35456/jump?url=http%3A%2F%2F192.168.0.105%3A35455%2Fgaoma%2Fcctv11.m3u8$gaoma-高码
CCTV11,http://192.168.0.105:35456/jump?url=http%3A%2F%2F192.168.0.105%3A35455%2Fitv%2F5000000011000031106.m3u8%3Fcdn%3Dbestzb$itv-50-FPS
CCTV11,http://192.168.0.105:35456/jump?url=http%3A%2F%2F192.168.0.105%3A35455%2Fitv%2F1000000005000265011.m3u8%3Fcdn%3Dystenlive$itv-HEVC
CCTV12,http://192.168.0.105:35456/jump?url=http%3A%2F%2F192.168.0.105%3A35455%2Fgaoma%2Fcctv12.m3u8$gaoma-高码
CCTV12,http://192.168.0.105:35456/jump?url=http%3A%2F%2F192.168.0.105%3A35455%2Fitv%2F1000000001000032494.m3u8%3Fcdn%3Dystenlive$itv
CCTV12,http://192.168.0.105:35456/jump?url=http%3A%2F%2F192.168.0.105%3A35455%2Fitv%2F6000000001000022586.m3u8%3Fcdn%3Dwasusyt$itv-50-FPS
CCTV12,http://192.168.0.105:35456/jump?url=http%3A%2F%2F192.168.0.105%3A35455%2Fitv%2F1000000005000265012.m3u8%3Fcdn%3Dystenlive$itv-HEVC
CCTV13,http://192.168.0.105:35456/jump?url=http%3A%2F%2F192.168.0.105%3A35455%2Fgaoma%2Fcctv13.m3u8$gaoma-高码
CCTV13,http://192.168.0.105:35456/jump?url=http%3A%2F%2F192.168.0.105%3A35455%2Fitv%2F5000000011000031108.m3u8%3Fcdn%3Dbestzb$itv-50-FPS
CCTV14,http://192.168.0.105:35456/jump?url=http%3A%2F%2F192.168.0.105%3A35455%2Fgaoma%2Fcctv14.m3u8$gaoma-高码
CCTV14,http://192.168.0.105:35456/jump?url=http%3A%2F%2F192.168.0.105%3A35455%2Fitv%2F1000000001000008170.m3u8%3Fcdn%3Dystenlive$itv
CCTV14,http://192.168.0.105:35456/jump?url=http%3A%2F%2F192.168.0.105%3A35455%2Fitv%2F5000000004000006673.m3u8%3Fcdn%3Dbestzb$itv-50-FPS
CCTV14,http://192.168.0.105:35456/jump?url=http%3A%2F%2F192.168.0.105%3A35455%2Fitv%2F1000000005000265013.m3u8%3Fcdn%3Dystenlive$itv-HEVC
CCTV15,http://192.168.0.105:35456/jump?url=http%3A%2F%2F192.168.0.105%3A35455%2Fgaoma%2Fcctv15.m3u8$gaoma-高码
CCTV15,http://192.168.0.105:35456/jump?url=http%3A%2F%2F192.168.0.105%3A35455%2Fitv%2F5000000011000031109.m3u8%3Fcdn%3Dbestzb$itv-50-FPS
CCTV15,http://192.168.0.105:35456/jump?url=http%3A%2F%2F192.168.0.105%3A35455%2Fitv%2F1000000005000265014.m3u8%3Fcdn%3Dystenlive$itv-HEVC
CCTV16,http://192.168.0.105:35456/jump?url=http%3A%2F%2F192.168.0.105%3A35455%2Fgaoma%2Fcctv16.m3u8$gaoma-高码
CCTV16,http://192.168.0.105:35456/jump?url=http%3A%2F%2F192.168.0.105%3A35455%2Fitv%2F1000000006000233002.m3u8%3Fcdn%3Dystenlive$itv
CCTV17,http://192.168.0.105:35456/jump?url=http%3A%2F%2F192.168.0.105%3A35455%2Fgaoma%2Fcctv17.m3u8$gaoma-高码
CCTV17,http://192.168.0.105:35456/jump?url=http%3A%2F%2F192.168.0.105%3A35455%2Fitv%2F1000000006000268004.m3u8%3Fcdn%3Dystenlive$itv
CCTV17,http://192.168.0.105:35456/jump?url=http%3A%2F%2F192.168.0.105%3A35455%2Fitv%2F1000000005000265015.m3u8%3Fcdn%3Dystenlive$itv-HEVC

卫视频道,#genre#
凤凰卫视中文台,http://192.168.0.105:35456/jump?url=http%3A%2F%2F192.168.0.105%3A35455%2Frptv%2FHD-10000k-1080P-fhchinese5s.m3u8%3Flicense%3Dcntv$rptv
凤凰卫视资讯台,http://192.168.0.105:35456/jump?url=http%3A%2F%2F192.168.0.105%3A35455%2Frptv%2FHD-10000k-1080P-fhzixun5s.m3u8%3Flicense%3Dcntv$rptv
凤凰卫视香港台,http://192.168.0.105:35456/jump?url=http%3A%2F%2F192.168.0.105%3A35455%2Frptv%2FHD-10000k-1080P-fhhongkong5s.m3u8%3Flicense%3Dcntv$rptv
湖南卫视,http://192.168.0.105:35456/jump?url=http%3A%2F%2F192.168.0.105%3A35455%2Fitv%2F5000000004000006692.m3u8%3Fcdn%3Dbestzb$itv
湖南卫视,http://192.168.0.105:35456/jump?url=http%3A%2F%2F192.168.0.105%3A35455%2Fitv%2F6000000001000018044.m3u8%3Fcdn%3Dwasusyt$itv-50-FPS
湖南卫视,http://192.168.0.105:35456/jump?url=http%3A%2F%2F192.168.0.105%3A35455%2Fitv%2F1000000005000265024.m3u8%3Fcdn%3Dystenlive$itv-HEVC
浙江卫视,http://192.168.0.105:35456/jump?url=http%3A%2F%2F192.168.0.105%3A35455%2Fitv%2F5000000004000007275.m3u8%3Fcdn%3Dbestzb$itv-50-FPS
浙江卫视,http://192.168.0.105:35456/jump?url=http%3A%2F%2F192.168.0.105%3A35455%2Fitv%2F1000000001000014260.m3u8%3Fcdn%3Dystenlive$itv
浙江卫视,http://192.168.0.105:35456/jump?url=http%3A%2F%2F192.168.0.105%3A35455%2Fitv%2F1000000005000265031.m3u8%3Fcdn%3Dystenlive$itv-HEVC
江苏卫视,http://192.168.0.105:35456/jump?url=http%3A%2F%2F192.168.0.105%3A35455%2Fitv%2F6000000001000014861.m3u8%3Fcdn%3Dwasusyt$itv-50-FPS
江苏卫视,http://192.168.0.105:35456/jump?url=http%3A%2F%2F192.168.0.105%3A35455%2Fitv%2F1000000001000001828.m3u8%3Fcdn%3Dystenlive$itv
江苏卫视,http://192.168.0.105:35456/jump?url=http%3A%2F%2F192.168.0.105%3A35455%2Fitv%2F1000000005000265030.m3u8%3Fcdn%3Dystenlive$itv-HEVC
东方卫视,http://192.168.0.105:35456/jump?url=http%3A%2F%2F192.168.0.105%3A35455%2Fitv%2F6000000001000003639.m3u8%3Fcdn%3Dwasusyt$itv
东方卫视,http://192.168.0.105:35456/jump?url=http%3A%2F%2F192.168.0.105%3A35455%2Fitv%2F5000000004000014098.m3u8%3Fcdn%3Dbestzb$itv-50-FPS
东方卫视,http://192.168.0.105:35456/jump?url=http%3A%2F%2F192.168.0.105%3A35455%2Fitv%2F1000000005000265018.m3u8%3Fcdn%3Dystenlive$itv-HEVC
北京卫视,http://192.168.0.105:35456/jump?url=http%3A%2F%2F192.168.0.105%3A35455%2Fitv%2F6000000001000020451.m3u8%3Fcdn%3Dwasusyt$itv
北京卫视,http://192.168.0.105:35456/jump?url=http%3A%2F%2F192.168.0.105%3A35455%2Fitv%2F1000000005000265027.m3u8%3Fcdn%3Dystenlive$itv-HEVC
深圳卫视,http://192.168.0.105:35456/jump?url=http%3A%2F%2F192.168.0.105%3A35455%2Fitv%2F5000000004000007410.m3u8%3Fcdn%3Dbestzb$itv
深圳卫视,http://192.168.0.105:35456/jump?url=http%3A%2F%2F192.168.0.105%3A35455%2Fitv%2F6000000001000002116.m3u8%3Fcdn%3Dwasusyt$itv-50-FPS
深圳卫视,http://192.168.0.105:35456/jump?url=http%3A%2F%2F192.168.0.105%3A35455%2Fitv%2F1000000005000265028.m3u8%3Fcdn%3Dystenlive$itv-HEVC
